"**PROJ"
"*PROJ_ID","*PROJ_NAME","*PROJ_LOC","*PROJ_CLNT","*PROJ_CONT","*PROJ_ENG","*PROJ_MEMO","*PROJ_DATE","*PROJ_AGS","*FILE_FSET"
"<UNITS>","","","","","","","","",""
"k4976","SI Works for Slope Strengthening Works at Registry of Marriage (ROM)","Fort Canning Park (ROM)","Ministry of Social and Family Development","Ryobi Geotechnique Pte Ltd","Chen Jiun Fook","1 Borehole, Field, Laboratory data","","",""
"<CONT>","","","","",""," and Tests","26/01/2016","3.1","RG/2016/k4976/260115/mmh"

"**ABBR"
"*ABBR_HDNG","*ABBR_CODE","*ABBR_DESC"
"BKFL_LEG","901","Sand backfill"
"BKFL_LEG","902","Gravel backfill"
"BKFL_LEG","903","Bentonite"
"BKFL_LEG","904","Grout"
"BKFL_LEG","905","Arisings"
"BKFL_LEG","906","Concrete"
"CNMT_TTYP","GAS","Gas"
"CNMT_TTYP","LIQUID","Liquid"
"CNMT_TTYP","SOLID","Solid"
"CNMT_TTYP","SOLID_11WAT","Solid (1:1 Soil/Water extract)"
"CNMT_TTYP","SOLID_21WAT","Solid (2:1 Soil/Water extract)"
"CNMT_TTYP","SOLID_ACID","Solid (Acid extract)"
"CNMT_TTYP","SOLID_AVAIL","Solid (Available)"
"CNMT_TTYP","SOLID_DRY","Solid (Dry weight)"
"CNMT_TTYP","SOLID_EDTA","Solid (EDTA extract)"
"CNMT_TTYP","SOLID_FREE","Solid (Free)"
"CNMT_TTYP","SOLID_PRES","Solid (Presence of)"
"CNMT_TTYP","SOLID_TOT","Solid(Total)"
"CNMT_TTYP","SOLID_WAT","Solid (Water extract)"
"CNMT_TTYP","WATER","Water"
"CNMT_TTYP","WATER_ACIDHY","Water (Acid hydrolysable)"
"CNMT_TTYP","WATER_DISS","Water (Dissolved)"
"CNMT_TTYP","WATER_ELEM","Water(Elemental)"
"CNMT_TTYP","WATER_FREE","Water (Free)"
"CNMT_TTYP","WATER_ORG","Water (Organic)"
"CNMT_TTYP","WATER_PRES","Water (Presence of)"
"CNMT_TTYP","WATER_TOT","Water (Total)"
"CNMT_TTYP","LEACHATE","Leachate"
"CNMT_TTYP","LEACHATE_TOT","Leachate (Total)"
